Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
 1  192.168.0.1      114        114                     NO   
 2  10.33.64.1        68        -46                     NO   
 3  100.72.4.149      59         -9                     NO   
 4  100.72.3.194      68          9                     NO   
 5  100.72.3.193      63         -5                     NO   
 6  100.72.3.185      56         -7                     NO   
 7  10.242.5.18       68         12                     NO   
 8  200.32.127.98     59         -9                     NO   
 9  *                  *         60                     SI   
10  67.17.99.233     179         60                     NO   
11  *                  *          6                     SI   
12  *                  *          6                     SI   
13  4.68.127.54      199          6                     NO   
14  129.250.2.202    335        136                     NO   
15  129.250.4.20     196       -139                     NO   
16  129.250.2.219    223         27                     NO   
17  129.250.7.69     216         -7                     NO   
18  129.250.2.177    336        120                     NO   
19  129.250.7.33     337          1                     NO   
20  129.250.3.210    336         -1                     NO   
21  61.200.91.186    343          7                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   344          0                     NO   
26  183.90.238.55    343         -1                     NO   
 1  192.168.0.1       56         11                     NO   
 2  10.33.64.1        64          8                     NO   
 3  100.72.4.149      68          4                     NO   
 4  100.72.3.194      84         16                     NO   
 5  *                  *        -10                     SI   
 6  100.72.3.185      64        -10                     NO   
 7  10.242.5.18       85         21                     NO   
 8  200.32.127.98     76         -9                     NO   
 9  200.32.127.97     76          0                     NO   
10  67.17.99.233     203        127                     NO   
11  *                  *          0                     SI   
12  *                  *          0                     SI   
13  4.68.127.54      204          0                     NO   
14  129.250.2.202    336        132                     NO   
15  129.250.4.20     204       -132                     NO   
16  129.250.2.219    231         27                     NO   
17  129.250.7.69     236          5                     NO   
18  129.250.2.177    323         87                     NO   
19  129.250.7.33     337         14                     NO   
20  129.250.3.106    324        -13                     NO   
21  61.200.82.178    364         40                     NO   
22  *                  *         -7                     SI   
23  *                  *         -7                     SI   
24  *                  *         -7                     SI   
25  210.188.213.76   335         -7                     NO   
26  183.90.238.55    336          1                     NO   
 1  192.168.0.1       51         11                     NO   
 2  10.33.64.1        55          4                     NO   
 3  100.72.4.149      64          9                     NO   
 4  100.72.3.194      52        -12                     NO   
 5  100.72.3.193      63         11                     NO   
 6  100.72.3.185      44        -19                     NO   
 7  10.242.5.18       59         15                     NO   
 8  200.32.127.98     71         12                     NO   
 9  *                  *         58                     SI   
10  67.17.99.233     188         58                     NO   
11  *                  *         -5                     SI   
12  *                  *         -5                     SI   
13  4.68.127.54      172         -5                     NO   
14  129.250.2.202    335        163                     NO   
15  129.250.4.20     183       -152                     NO   
16  129.250.2.219    212         29                     NO   
17  129.250.7.69     228         16                     NO   
18  129.250.2.177    335        107                     NO   
19  129.250.7.33     329         -6                     NO   
20  129.250.3.106    339         10                     NO   
21  61.200.82.178    336         -3                     NO   
22  *                  *          7                     SI   
23  *                  *          7                     SI   
24  *                  *          7                     SI   
25  210.188.213.76   367          7                     NO   
26  183.90.238.55    339        -28                     NO   
 1  192.168.0.1       59         11                     NO   
 2  10.33.64.1        33        -26                     NO   
 3  100.72.4.149      63         30                     NO   
 4  100.72.3.194      55         -8                     NO   
 5  100.72.3.193      68         13                     NO   
 6  100.72.3.185      60         -8                     NO   
 7  10.242.5.18       71         11                     NO   
 8  200.32.127.98     51        -20                     NO   
 9  *                  *         70                     SI   
10  67.17.99.233     192         70                     NO   
11  *                  *         -2                     SI   
12  *                  *         -2                     SI   
13  4.68.127.54      185         -2                     NO   
14  129.250.2.202    344        159                     NO   
15  129.250.4.20     215       -129                     NO   
16  129.250.2.219    238         23                     NO   
17  129.250.7.69     244          6                     NO   
18  129.250.2.177    323         79                     NO   
19  129.250.7.33     351         28                     NO   
20  129.250.3.106    327        -24                     NO   
21  61.200.82.178    340         13                     NO   
22  *                  *          5                     SI   
23  *                  *          5                     SI   
24  *                  *          5                     SI   
25  210.188.213.76   360          5                     NO   
26  183.90.238.55    332        -28                     NO   
 1  192.168.0.1       43         11                     NO   
 2  10.33.64.1        67         24                     NO   
 3  100.72.4.149      68          1                     NO   
 4  100.72.3.194      52        -16                     NO   
 5  100.72.3.193      47         -5                     NO   
 6  100.72.3.185      60         13                     NO   
 7  10.242.5.18       67          7                     NO   
 8  200.32.127.98     64         -3                     NO   
 9  200.32.127.97     61         -3                     NO   
10  67.17.99.233     180        119                     NO   
11  *                  *          4                     SI   
12  *                  *          4                     SI   
13  4.68.127.54      192          4                     NO   
14  129.250.2.202    336        144                     NO   
15  129.250.4.20     204       -132                     NO   
16  129.250.2.219    259         55                     NO   
17  129.250.7.69     227        -32                     NO   
18  129.250.2.177    340        113                     NO   
19  129.250.2.128    331         -9                     NO   
20  129.250.3.232    340          9                     NO   
21  61.200.82.178    356         16                     NO   
22  *                  *         -1                     SI   
23  *                  *         -1                     SI   
24  *                  *         -1                     SI   
25  210.188.213.76   352         -1                     NO   
26  183.90.238.55    343         -9                     NO   
 1  192.168.0.1       40         12                     NO   
