Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
 1  192.168.0.1       80         80                     NO   
 2  *                  *         12                     SI   
 3  *                  *         12                     SI   
 4  *                  *         12                     SI   
 5  *                  *         12                     SI   
 6  200.89.165.250   144         12                     NO   
 7  185.70.203.32     52        -92                     NO   
 8  89.221.41.181    256        204                     NO   
 9  154.54.9.17      192        -64                     NO   
10  154.54.47.17     192          0                     NO   
11  154.54.24.145    200          8                     NO   
12  154.54.7.157     212         12                     NO   
13  154.54.40.105    216          4                     NO   
14  66.28.4.198      288         72                     NO   
15  130.117.49.154   300         12                     NO   
16  130.117.1.42     308          8                     NO   
17  154.54.57.65     304         -4                     NO   
18  149.6.22.74      308          4                     NO   
19  90.147.80.206    308          0                     NO   
20  193.206.136.46   316          8                     NO   
21  193.205.80.112   320          4                     NO   
 6  200.89.165.250    68         16                     NO   
 7  185.70.203.32     72          4                     NO   
 8  89.221.41.181    192        120                     NO   
 9  154.54.9.17      176        -16                     NO   
10  154.54.47.17     188         12                     NO   
11  154.54.24.145    200         12                     NO   
12  154.54.7.157     199         -1                     NO   
13  154.54.40.105    236         37                     NO   
14  66.28.4.198      316         80                     NO   
15  130.117.49.154   304        -12                     NO   
16  130.117.1.42     316         12                     NO   
17  154.54.57.65     320          4                     NO   
18  149.6.22.74      300        -20                     NO   
19  90.147.80.206    320         20                     NO   
20  193.206.136.46   336         16                     NO   
21  193.205.80.112   320        -16                     NO   
 6  200.89.165.250    68         16                     NO   
 7  185.70.203.32     68          0                     NO   
 8  89.221.41.181    208        140                     NO   
 9  154.54.9.17      184        -24                     NO   
10  154.54.47.17     184          0                     NO   
11  154.54.24.145    200         16                     NO   
12  154.54.7.157     212         12                     NO   
13  154.54.40.105    224         12                     NO   
14  66.28.4.198      288         64                     NO   
15  130.117.49.154   312         24                     NO   
16  130.117.1.42     300        -12                     NO   
17  154.54.57.65     316         16                     NO   
18  149.6.22.74      308         -8                     NO   
19  90.147.80.206    332         24                     NO   
20  193.206.136.46   304        -28                     NO   
21  193.205.80.112   312          8                     NO   
 6  200.89.165.250   172          9                     NO   
 7  185.70.203.32     63       -109                     NO   
 8  89.221.41.181    228        165                     NO   
 9  154.54.9.17      211        -17                     NO   
10  154.54.47.17     187        -24                     NO   
11  154.54.24.145    204         17                     NO   
12  154.54.7.157     196         -8                     NO   
13  154.54.40.105    208         12                     NO   
14  66.28.4.198      292         84                     NO   
15  130.117.49.154   308         16                     NO   
16  130.117.1.42     308          0                     NO   
17  154.54.57.65     333         25                     NO   
18  149.6.22.74      307        -26                     NO   
19  90.147.80.206    316          9                     NO   
20  193.206.136.46   308         -8                     NO   
21  193.205.80.112   328         20                     NO   
 6  200.89.165.250    56         18                     NO   
 7  185.70.203.32     96         40                     NO   
 8  89.221.41.181    211        115                     NO   
 9  154.54.9.17      180        -31                     NO   
10  154.54.47.17     171         -9                     NO   
11  154.54.24.145    200         29                     NO   
12  154.54.7.157     200          0                     NO   
13  154.54.40.105    220         20                     NO   
14  66.28.4.198      292         72                     NO   
15  130.117.49.154   312         20                     NO   
16  130.117.1.42     303         -9                     NO   
17  154.54.57.65     332         29                     NO   
18  149.6.22.74      315        -17                     NO   
19  90.147.80.206    328         13                     NO   
