Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
 1  192.168.0.1      111        111                     NO   
 2  10.33.64.1        56        -55                     NO   
 3  100.72.4.149      52         -4                     NO   
 4  100.72.3.194      61          9                     NO   
 5  100.72.3.193      64          3                     NO   
 6  100.72.3.185      60         -4                     NO   
 7  10.242.5.18       79         19                     NO   
 8  200.32.127.98     64        -15                     NO   
 9  200.32.127.97     63         -1                     NO   
10  67.17.99.233     187        124                     NO   
11  *                  *          1                     SI   
12  *                  *          1                     SI   
13  4.68.127.54      191          1                     NO   
14  129.250.2.202    344        153                     NO   
15  129.250.4.20     191       -153                     NO   
16  129.250.2.219    204         13                     NO   
17  129.250.7.69     232         28                     NO   
18  129.250.2.177    323         91                     NO   
19  129.250.7.33     331          8                     NO   
20  129.250.3.106    327         -4                     NO   
21  61.200.82.178    339         12                     NO   
22  *                  *          0                     SI   
23  *                  *          0                     SI   
24  *                  *          0                     SI   
25  210.188.213.76   339          0                     NO   
26  183.90.238.55    357         18                     NO   
 1  192.168.0.1       56         12                     NO   
 2  10.33.64.1        71         15                     NO   
 3  100.72.4.149      51        -20                     NO   
 4  100.72.3.194      64         13                     NO   
 5  100.72.3.193      83         19                     NO   
 6  100.72.3.185      64        -19                     NO   
 7  10.242.5.18       81         17                     NO   
 8  200.32.127.98     59        -22                     NO   
 9  200.32.127.97     51         -8                     NO   
10  67.17.94.249     187        136                     NO   
11  *                  *         -5                     SI   
12  *                  *         -5                     SI   
13  4.68.127.54      170         -5                     NO   
14  129.250.2.202    343        173                     NO   
15  129.250.4.20     183       -160                     NO   
16  129.250.2.219    236         53                     NO   
17  129.250.7.69     232         -4                     NO   
18  129.250.2.177    339        107                     NO   
19  129.250.7.33     339          0                     NO   
20  129.250.3.106    335         -4                     NO   
21  61.200.82.178    328         -7                     NO   
22  *                  *         -1                     SI   
23  *                  *         -1                     SI   
24  *                  *         -1                     SI   
25  210.188.213.76   324         -1                     NO   
26  *                  *         11                     SI   
27  183.90.238.55    347         11                     NO   
 1  192.168.0.1       44         11                     NO   
 2  10.33.64.1        67         23                     NO   
 3  100.72.4.149      67          0                     NO   
 4  100.72.3.194      64         -3                     NO   
 5  100.72.3.193      68          4                     NO   
 6  100.72.3.185      64         -4                     NO   
 7  10.242.5.18       69          5                     NO   
 8  200.32.127.98     56        -13                     NO   
 9  *                  *         54                     SI   
10  67.17.99.233     164         54                     NO   
11  *                  *          8                     SI   
12  *                  *          8                     SI   
13  4.68.127.54      188          8                     NO   
