Deltas entre nodos que respondieron:
TTL IP               RTT(ms)   RTT(i)-RTT(i-1) (ms)     Estimado
 1  192.168.0.1       86         86                     NO   
 2  *                  *         -5                     SI   
 3  *                  *         -5                     SI   
 4  *                  *         -5                     SI   
 5  *                  *         -5                     SI   
 6  200.89.165.250    60         -5                     NO   
 7  185.70.203.32     76         16                     NO   
 8  89.221.41.171    192        116                     NO   
 9  154.54.9.17      208         16                     NO   
10  154.54.47.29     204         -4                     NO   
11  154.54.28.49     212          8                     NO   
12  154.54.24.221    204         -8                     NO   
13  154.54.40.109    220         16                     NO   
14  154.54.42.86     296         76                     NO   
15  154.54.57.162    304          8                     NO   
16  154.54.61.69     296         -8                     NO   
17  149.14.146.194   308         12                     NO   
18  155.232.1.40     443        135                     NO   
19  155.232.64.76    468         25                     NO   
20  155.232.1.16     472          4                     NO   
21  155.232.15.214   468         -4                     NO   
22  155.232.29.2     468          0                     NO   
 1  192.168.0.1       44         20                     NO   
 2  *                  *         13                     SI   
 3  *                  *         13                     SI   
 4  *                  *         13                     SI   
 5  *                  *         13                     SI   
 6  200.89.165.250   112         13                     NO   
 7  185.70.203.32     60        -52                     NO   
 8  89.221.41.171    260        200                     NO   
 9  154.54.9.17      180        -80                     NO   
10  154.54.47.29     200         20                     NO   
11  154.54.28.49     231         31                     NO   
12  154.54.24.221    244         13                     NO   
13  154.54.40.109    240         -4                     NO   
14  154.54.42.86     304         64                     NO   
15  154.54.57.162    304          0                     NO   
16  154.54.61.69     300         -4                     NO   
17  149.14.146.194   304          4                     NO   
18  155.232.1.40     447        143                     NO   
19  155.232.64.76    464         17                     NO   
20  155.232.1.16     480         16                     NO   
21  155.232.15.214   484          4                     NO   
22  155.232.29.2     460        -24                     NO   
 1  192.168.0.1       56         19                     NO   
 2  *                  *          0                     SI   
 3  *                  *          0                     SI   
 4  *                  *          0                     SI   
 5  *                  *          0                     SI   
 6  200.89.165.250    60          0                     NO   
 7  185.70.203.32     68          8                     NO   
 8  89.221.41.171    224        156                     NO   
 9  154.54.9.17      208        -16                     NO   
10  154.54.47.29     200         -8                     NO   
11  154.54.28.49     220         20                     NO   
12  154.54.24.221    220          0                     NO   
13  154.54.40.109    216         -4                     NO   
14  154.54.42.86     316        100                     NO   
15  154.54.57.162    300        -16                     NO   
16  154.54.61.69     304          4                     NO   
17  149.14.146.194   284        -20                     NO   
18  155.232.1.40     452        168                     NO   
19  155.232.64.76    492         40                     NO   
20  155.232.1.16     468        -24                     NO   
21  155.232.15.214   484         16                     NO   
22  155.232.29.2     459        -25                     NO   
 1  192.168.0.1       52         19                     NO   
 2  *                  *          2                     SI   
 3  *                  *          2                     SI   
 4  *                  *          2                     SI   
 5  *                  *          2                     SI   
 6  200.89.165.250    64          2                     NO   
 7  185.70.203.32     59         -5                     NO   
 8  89.221.41.171    204        145                     NO   
 9  154.54.9.17      204          0                     NO   
10  154.54.47.29     187        -17                     NO   
11  154.54.28.49     203         16                     NO   
12  154.54.24.221    212          9                     NO   
13  154.54.40.109    240         28                     NO   
14  154.54.42.86     307         67                     NO   
15  154.54.57.162    312          5                     NO   
16  154.54.61.69     300        -12                     NO   
17  149.14.146.194   288        -12                     NO   
18  155.232.1.40     448        160                     NO   
19  155.232.64.76    460         12                     NO   
20  155.232.1.16     480         20                     NO   
21  155.232.15.214   480          0                     NO   
22  155.232.29.2     464        -16                     NO   
 1  192.168.0.1       56         19                     NO   
 2  *                  *         23                     SI   
 3  *                  *         23                     SI   
 4  *                  *         23                     SI   
 5  *                  *         23                     SI   
 6  200.89.165.250   172         23                     NO   
 7  185.70.203.32     64       -108                     NO   
 8  89.221.41.171    243        179                     NO   
 9  154.54.9.17      192        -51                     NO   
10  154.54.47.29     188         -4                     NO   
11  154.54.28.49     200         12                     NO   
12  154.54.24.221    216         16                     NO   
13  154.54.40.109    228         12                     NO   
14  154.54.42.86     299         71                     NO   
15  154.54.57.162    308          9                     NO   
16  154.54.61.69     300         -8                     NO   
17  149.14.146.194   296         -4                     NO   
18  155.232.1.40     440        144                     NO   
19  155.232.64.76    460         20                     NO   
20  155.232.1.16     483         23                     NO   
21  155.232.15.214   484          1                     NO   
22  155.232.29.2     480         -4                     NO   
 1  192.168.0.1       76         19                     NO   
 2  *                  *          0                     SI   
 3  *                  *          0                     SI   
 4  *                  *          0                     SI   
 5  *                  *          0                     SI   
 6  200.89.165.250    76          0                     NO   
